Country,City,District,Neighborhood,Neighborhood_lookup,Subdivision,Lat,Lon,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Spain,Madrid,Chamberí,072 Arapiles,Arapiles,,,,2668,3498,4010,4369,4547,5043,5125,4498,4434,4303,3898,3417,3234,3479,3629,3885
Spain,Madrid,Chamberí,073 Trafalgar,Trafalgar,,,,2920,3511,4107,4501,5037,5224,5401,4971,4731,4524,4068,3705,3421,3503,3782,4047
Spain,Madrid,Chamberí,074 Almagro,Almagro,,,,3308,4247,5057,5141,5727,6164,6191,6243,6275,5786,5611,4908,4470,4527,4460,4989
Spain,Madrid,Chamberí,075 Ríos Rosas,Nuevos Ministerios-Ríos Rosas,,,,2939,3678,4297,4403,4406,4966,5243,4731,4629,4408,4085,3589,3403,3417,3643,3920
Spain,Madrid,Chamberí,076 Vallehermoso,Vallehermoso,,,,3016,3191,4201,4445,4671,4673,5066,4756,4473,4413,3951,3588,3353,3317,3353,3542
Spain,Madrid,Fuencarral-El Pardo,081 El Pardo,El Pardo,,,,2552,,2171,,,,,,,,,,,,,
Spain,Madrid,Fuencarral-El Pardo,082 Fuentelarreina,Fuentelarreina,,,,2499,,2574,,,,4271,,,,,3301,2845,2731,2770,3004
Spain,Madrid,Fuencarral-El Pardo,083 Peña Grande,Peñagrande,,,,2086,2401,3135,3606,3793,4152,4075,3704,3667,3573,3326,2919,2867,2634,2681,2751
Spain,Madrid,Fuencarral-El Pardo,084 El Pilar,Pilar,,,,2198,2944,3399,3679,3696,3932,3957,3495,3435,3323,3011,2573,2283,2174,2214,2494
Spain,Madrid,Fuencarral-El Pardo,085 La Paz,La Paz,,,,2617,3101,3550,3645,3884,4244,4242,4114,3916,3879,3572,3111,3079,2951,2930,2960
Spain,Madrid,Fuencarral-El Pardo,086 Valverde,Valverde,Tres Olivos,40.499431,-3.691770,,,,,,,,,2966,2874,2612,2255,2127,1770,1921,1872
Spain,Madrid,Fuencarral-El Pardo,086 Valverde,Valverde,PAU Las Tablas,40.505960,-3.670523,,,,,,,,,3860,4081,3903,3479,,,3312,3478
Spain,Madrid,Fuencarral-El Pardo,087 Mirasierra,Mirasierra,,,,2681,3268,3633,3986,4016,4239,4364,4302,4189,4065,3773,3214,3102,3078,3268,3401
Spain,Madrid,Fuencarral-El Pardo,088 El Goloso,El Goloso,,,,,,,,,,4092,4180,4248,4298,4108,3658,3420,3477,3540,3679
Spain,Madrid,Moncloa-Aravaca,091 Casa de Campo,Casa de Campo,,,,2559,3100,3461,3622,4499,4408,4403,3721,3587,3397,3198,2962,2821,2658,2729,3012
Spain,Madrid,Moncloa-Aravaca,092 Argüelles,Argüelles,,,,2849,3640,3889,4362,4468,4826,4889,4683,4610,4344,4178,3767,3430,3307,3433,3944
